date,temperature,precipitation,rain_tomorrow
2025-01-01,6.1,0.0,0
2025-01-02,4.4,22.7,1
2025-01-03,0.4,0.0,0
2025-01-04,-0.7,5.2,1
2025-01-05,9.4,14.1,1
2025-01-06,9.7,1.6,1
2025-01-07,5.0,4.0,1
2025-01-08,6.0,15.9,1
2025-01-09,6.3,5.4,1
2025-01-10,3.4,0.4,1
2025-01-11,0.9,0.0,0
2025-01-12,1.5,0.0,0
2025-01-13,0.5,0.0,0
2025-01-14,-1.4,0.0,0
2025-01-15,2.2,0.2,1
2025-01-16,3.4,0.0,0
2025-01-17,0.8,0.0,0
2025-01-18,0.5,0.0,0
2025-01-19,-0.3,0.1,1
2025-01-20,-0.5,0.1,1
2025-01-21,0.2,0.0,0
2025-01-22,4.8,13.8,1
2025-01-23,6.1,3.1,1
2025-01-24,9.3,4.7,1
2025-01-25,9.8,11.2,1
2025-01-26,5.0,3.2,1
2025-01-27,9.7,3.6,1
2025-01-28,7.9,4.5,1
2025-01-29,7.2,9.7,1
2025-01-30,6.1,3.7,1
2025-01-31,2.3,4.8,1
2025-02-01,2.2,0.0,0
2025-02-02,1.2,0.0,0
2025-02-03,1.3,0.0,0
2025-02-04,1.3,0.0,0
2025-02-05,4.5,0.0,0
2025-02-06,3.3,0.2,1
2025-02-07,3.9,0.9,1
2025-02-08,5.7,2.2,1
2025-02-09,4.7,5.4,1
2025-02-10,4.2,8.5,1
2025-02-11,4.1,0.0,0
2025-02-12,3.3,0.4,1
2025-02-13,4.5,0.1,1
2025-02-14,1.6,0.0,0
2025-02-15,0.6,0.0,0
2025-02-16,1.7,0.0,0
2025-02-17,1.8,0.0,0
2025-02-18,2.8,0.0,0
2025-02-19,4.9,0.0,0
2025-02-20,9.6,1.5,1
2025-02-21,12.0,0.1,1
2025-02-22,10.7,6.0,1
2025-02-23,8.9,0.0,0
2025-02-24,10.3,3.1,1
2025-02-25,8.0,18.3,1
2025-02-26,7.0,2.6,1
2025-02-27,6.0,0.4,1
2025-02-28,5.0,0.5,1
2025-03-01,3.7,0.0,0
2025-03-02,4.5,0.0,0
2025-03-03,4.7,0.0,0
2025-03-04,5.7,0.0,0
2025-03-05,7.6,0.0,0
2025-03-06,9.2,0.0,0
2025-03-07,10.6,0.0,0
2025-03-08,11.6,0.0,0
2025-03-09,12.1,0.0,0
2025-03-10,10.6,3.3,1
2025-03-11,7.1,0.5,1
2025-03-12,4.9,2.3,1
2025-03-13,4.4,1.6,1
2025-03-14,3.1,0.7,1
2025-03-15,3.8,0.2,1
2025-03-16,5.8,0.0,0
2025-03-17,5.8,0.0,0
2025-03-18,6.5,0.0,0
2025-03-19,10.2,0.0,0
2025-03-20,11.5,0.0,0
2025-03-21,13.5,2.1,1
2025-03-22,12.7,10.0,1
2025-03-23,9.9,1.1,1
2025-03-24,10.8,0.5,1
2025-03-25,10.4,0.0,0
2025-03-26,10.1,0.4,1
2025-03-27,8.8,0.0,0
2025-03-28,7.8,2.1,1
2025-03-29,8.9,1.5,1
2025-03-30,9.7,0.1,1
2025-03-31,9.1,0.0,0
